               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.019235,           0.0071358,           0.0026266,             0.99375,             0.98301,             0.99133,             0.89213,           0.0088619,            0.002855,          0.00090122,            0.004951,            0.004951,            0.004951
                 104,            0.018813,           0.0074476,           0.0019507,             0.98964,             0.98262,             0.99045,             0.88582,           0.0086733,           0.0028495,           0.0011182,           0.0049015,           0.0049015,           0.0049015
                 105,            0.017699,           0.0071069,           0.0015432,             0.98215,             0.98383,             0.98873,             0.88681,           0.0089564,           0.0029278,           0.0017242,            0.004852,            0.004852,            0.004852
                 106,            0.019871,            0.007211,           0.0016532,             0.98226,              0.9876,             0.99023,              0.9068,           0.0083079,           0.0027827,           0.0013877,           0.0048025,           0.0048025,           0.0048025
                 107,            0.019377,           0.0071397,           0.0024081,             0.99329,             0.98094,             0.99006,             0.89051,           0.0091129,           0.0028892,           0.0010618,            0.004753,            0.004753,            0.004753
                 108,            0.020237,           0.0070474,           0.0016529,             0.98898,             0.98954,             0.99139,             0.89497,            0.008546,            0.002782,          0.00097278,           0.0047035,           0.0047035,           0.0047035
                 109,            0.018492,           0.0073182,           0.0018539,             0.98891,             0.98682,             0.99018,             0.89812,           0.0081973,           0.0028919,           0.0010308,            0.004654,            0.004654,            0.004654
                 110,             0.01967,            0.007183,           0.0018242,              0.9831,             0.98986,             0.98829,             0.89858,            0.008497,             0.00287,           0.0013127,           0.0046045,           0.0046045,           0.0046045
                 111,            0.017316,           0.0071026,           0.0017216,             0.98808,             0.98448,             0.98861,             0.90213,           0.0086392,           0.0029444,           0.0014685,            0.004555,            0.004555,            0.004555
                 112,            0.020389,           0.0069933,           0.0015139,              0.9889,             0.98374,             0.99099,             0.89975,           0.0086743,           0.0028704,           0.0010021,           0.0045055,           0.0045055,           0.0045055
                 113,            0.017241,           0.0074883,           0.0021958,             0.98767,             0.98231,             0.99079,             0.90242,           0.0081429,           0.0028543,          0.00084448,            0.004456,            0.004456,            0.004456
